website,logo,favicon
www.infoblox.com,https://www.infoblox.com/wp-content/themes/divi/images/infoblox-logo.svg,https://www.infoblox.com/wp-content/uploads/cropped-infoblox-logo-favicon-1-32x32.png
home,https://images.ctfassets.net/8utyj17y1gom/36c4cxyzoqy27tliszhxy0/fb2bc13c7e58bb4d665fff96904713f9/rogers-60-year-logo.png,https://www.rogers.com/app/prod/assets/i/favicon.ico
www.namecheap.com,,https://www.namecheap.com/assets/img/nc-icon/favicon.ico
www.houzz.com,//www.houzz.com/res/4378/pic/houzz_logo.svg?v=4378,/favicon/favicon.ico
www.lifesize.com,https://d9v4h7ffge8st.cloudfront.net/en/~/media/images/customer logos/disney-plus-logo.png,/sites/sky/_resources/img/favicon.png
en-ap,/spot/media/logos/spot-logo.svg,/spot/images/favicons/favicon-16.png
us,/themes/custom/proofpoint/dist/app-drupal/assets/logo-reg.svg,/themes/custom/proofpoint/apps/drupal/favicon.ico
www.pgi.com,https://www.pgi.com/wp-content/uploads/2019/12/cropped-logo_pgi_rgb-300x300-50x50.png,https://www.pgi.com/wp-includes/css/dashicons.min.css?ver=5.6
www.2checkout.com,/resources/en/site_pages/2checkout-logo-is-now-verifone.svg,/favicon.ico
www.gazelle.com,,/favicon.ico
www.earthlink.net,https://www.earthlink.net/wp-content/uploads/2017/10/earthlink-logo.png,https://www.earthlink.net/wp-content/themes/uncode/library/css/uncode-icons.css
bitly.com,,https://docrdsfx76ssb.cloudfront.net/static/1613074941/pages/wp-content/uploads/2019/02/favicon.ico
quirky.com,,/wp-content/uploads/fbrfg/apple-touch-icon.png?v=yyqwz633bb
www.tel3.com,/images/tel3-logo-svg.svg,http://www.tel3.com/images/icon.png
index.shtml,/masterto/themes/theme_3_0/css/theme-images/niu-homepage-logo.svg,
mediatemple.net,,/favicon-32x32.png?v=f2258b6281146d027aacb0bcc6c272b5
home,/content/dam/onstar/common/nav/onstar-logo-opt.svg,/etc.clientlibs/onstar/clientlibs/clientlib-site/resources/img/favicon/favicon.ico
www.optimum.com,,https://www.optimum.com/themes/custom/optimum/slice/favicon/apple-touch-icon.png
www.ooma.com,/wp-content/themes/ooma/images/icons/ooma-logo.svg,/favicon/favicon.ico?v=2
www.ipage.com,,/favicon.ico
www.toptenreviews.com,,https://vanilla.futurecdn.net/toptenreviews/247818/apple-touch-icon.png
